全国地方公共団体コード,Symbolアドレス,Symbol公開鍵,市区町村名
012246,NDUYXLUAI4EC6SJ4EI2UZCY7PFXKWS7ZSJHS4TQ,DA1B4255707909B1859625BFEAD9624E820D9ED086F561D2EEFCE7B0A244753B,北海道千歳市
012254,NAUGVXWDNG3I5DGRBMJT4HIO4GBPAK7XU3BANPA,D429962F0F187287533265188C86A048E7239222FDD1D08B91F1BE0DECF23293,北海道滝川市
012262,NCXZ3P623UKROSHRAHPCTTI4VV5JR5L4JEQPLHQ,A567848267243D46A091F64CA5FC6039D64FB3C7841F758BF6A31F8B9F91493F,北海道砂川市
012271,NCHXM35QQCWC7XN4XG6LALYLQNF3GTUA2LBKCZA,0591F83B827BBD29848DF6A8279F80691248E660BFC42D484C524B3A43BE2BAE,北海道歌志内市
012289,ND2HW53CWPUA7VU3TWLZXQ6P3V5OHYWNS2BRGTY,57620952043BFB1F6745C94872C1094850D12388C6528FBE867DAB72E926C7F4,北海道深川市
012297,NABCW25WUFXHMWNT4CRD2YUV6PVLT4C7A54SU6I,77B834189AA11723892E13ACE96C04C00518CB00AC2AF992689C0D10D71219F2,北海道富良野市
012301,NBFQ75PO5AENZ7C7DPT77NYSILOY5VSPKJDE74I,13F4440A7DFF266A72F567CFFAFECE899A9CCCED9BC572A9DE8EF80DB54415C1,北海道登別市
012319,NCULXUVPJH5ICM5LPP44P7656YOBPLQIKH2BUUA,8C8A45DAF400FDA2253E1A325182CCA7494F4D0D3B7407E2C2EB46BA796E22E4,北海道恵庭市
012335,NA37WXZVHBW2KZWGC6IHPXQJLQ45NNC7A5XYHFQ,5A8ADAA2A5B715CE528B738CD85813A58243030F124B47C40019B45CBF7C2A49,北海道伊達市
012343,NDOG2FSR2DNGKU2ZF4QUZSTZSQQBRRPGK5OZRJI,4CEF823F9C347357A2762CE673B75B330BF203FF2189802CE734E763773BA327,北海道北広島市
012351,NDSUOR3KGNA7UZDKA7NJQTWVF5QNXMBFUFEGZCI,8462FBCB55CFE906C7CA1BB7CD40A1E8DD9E68521D5690D72C68C6BF777FF492,北海道石狩市
012360,NDCA43NBKMMY4P4T5CGTJTJ5QOMXKKYQR7TWDEA,84D022D656E9C90A7E66358AF6C715424201E03ECC0D9221AE2BEB4BBCAA3714,北海道北斗市
013030,NDVIQZJMMOBXPSOVNQLVSJR6TABEBJSADD2XC2I,CCE0A2A10BE98F75ECC4B24DA837BBC195620914CCFAA14F8E8A4B0FD34813EC,北海道石狩郡当別町
013048,ND6HIE5XXWIW7EVBDRDHOLDIAM33BYSCG47SMGY,1C72BBFFDB0A7279FF08859C839BE5B927BC33B1CFB01A57C945D7BE70E87E0C,北海道石狩郡新篠津村
013315,NCHJODWA7JU4BLXG4X5YGJ6XRJ2K5VZWC2HJLSQ,C68EB251BBF9CB2DE93B23624E1249037E4F33072C156540A8D492A35C67F637,北海道松前郡松前町
013323,NB5PX2JJBMPXG4HTMMJIFKIIDZ27OMKDIDHGPJY,F4F797F0ECCB18412D63E42C28F078BF7509486A9E166B75262431A8D5452480,北海道松前郡福島町
013331,NDEKPCXOEK6EOP6XBDNTJM4ZEMC57KYMOZJJWQI,333B982FD3D86727237E4A0F161938ACC475CC160DEE0E1DA0434F431C6E55CA,北海道上磯郡知内町
013340,NBNMZ4UWX4H2LTRJNJPJD44FJ35OX3WXOQU7WWY,0163474191EC874DDD0E4C82B60E46E05DC17DA7976371E36470149827D104BD,北海道上磯郡木古内町
013374,NCWRNLFEPA5AS45PFXAH6RTMVCCVEOYDRLAZ2NI,CFAE50106283ABE820812587B699325124B9F7484E6C90A13733B67B94998A4A,北海道亀田郡七飯町
013439,NANA5ZJPLL54H2SWQQAX7RD3CIYS2NQZOQ56IQY,EA766888F6E503CFB501B3268DC7DB05FE81BB961ED92B85AA3D8BB5C09D3F3E,北海道茅部郡鹿部町
013455,NBPUBH7DDO7M6VECNDFHVTYUWVLSNQC7O7W3RYY,D16C20AFC4079AAC2E1CBC12AD3184E748D8064AB65ADB670AAC2BF28466D424,北海道茅部郡森町
013463,NC3ZVLTQSHGN26KCCGVN7NFYV26SV27TFHYOG6Y,079EACE2BE44716FB68D5BE7EF4A74C2B3F5AF1721ADDFAA94CE0FD8A28102C5,北海道二海郡八雲町
013471,NCF4K2GG2DMQWNSIPZRZBXTTACVDU5Q265YMDMI,0B3E77AD41780B7AA9667DA0461505FBBDABBEEABEC0C08EAF69C0FCB6240C8A,北海道山越郡長万部町
013617,NAAO4RQAXQCCSGFKPABRNYNBXOJ5EZB2TACHXLI,1091A4F2F55EBF5BE66899A06C8D09136B3AC23C6981AD4E923C63BD9F7FB44F,北海道檜山郡江差町
013625,NCL3JIPNMNY4VZ36NHCXQU3B57CQNPWK333ORAA,65B09480D397B72EC297A9FA5BBCF84AA78F4ECA71C2E9E632B362C95911646D,北海道檜山郡上ノ国町
013633,NDKGFKHQFIVD3OFNRZRSPLFRJ4VYJYC5R2JQ3EQ,F9C50DD97587EFD02FD440DFA8C82309587B44A86EBA575369239DEBAE2FB41E,北海道檜山郡厚沢部町
013641,NDLWKSL7EPIYK7BLGD4EOSIZQKJB4V25MFAGJII,FDA4C370FF9DE2573AC636CE7FCA93A612362A25C39D29DBEF93B104728EE032,北海道爾志郡乙部町
013676,NDWJSGUITABDDU7SGRQXSYOJ26JJKQXK3R4BUHA,A696DB9DEA68E7CFEE1390F673DEF39C740A02445013EBFC31D369131C7510F3,北海道奥尻郡奥尻町
013706,NBXR7W6PI6WP66LWXYOJJEPW25S5MY2AXQTXT7Q,748F035D677EF6B83D592C81FFAD424E7780DF12D340C0816F4187C159A3B963,北海道瀬棚郡今金町
013714,NCZOPLFJ3R4XKAJXMUIH34QPMGNVXSKJXB52PYI,C50A70315CB909FDA130ABB8636F2C5B6044916165529B2D9B9587D882A873CE,北海道久遠郡せたな町
013919,NDVGSQHTVYLZ7AAOV4WHWOYXS3XHK3DW3POKJ2I,CD1B25CB96DE49BEC32581AC5C3F3B1D427482878FAA19515937534658BF32B4,北海道島牧郡島牧村
013927,NAWG2ZVQ6TADZ5473CBIQRGTFRZMAYNOSNNTSVI,7F2D65733F4BA0C8D15C193523D14E9BA4D448CDD65B62CD7E5338A96AEBD74D,北海道寿都郡寿都町
013935,NB3A27NEDRIHRVHLNFO4JHNBWA76TKECDNP4DNA,BF578E645731B2EBF346A1C572C0AA97A782104D02DF238A1F9BB90AB5E5FA23,北海道寿都郡黒松内町
013943,NCP5WD57IIVGYHN7M3QXM2B5PLB3VKH4N32UH2Q,D8776C91072D5A3BC6FD419B10885C35FA6BE9CFA5994D1A201715D492FCE980,北海道磯谷郡蘭越町
013951,NBFWXKAVWYJCNHKW3LKAFSCAX5QHLZ2H6TCOPIQ,51FFF27C7CEDBBDF642917BFBC02F002AB95056C4A62EC0829EB6AB0B623354F,北海道虻田郡ニセコ町
013960,NCY7VF2SIO5CCVXN7XA5GYFWRAYTJS4GR4ONH6I,9E852F1373141EC97419EF4C41B0BC73B03C6F6444818D308A9C51D6CD19759B,北海道虻田郡真狩村
013978,NDUUZ4LSB2FSVI22T3KBRZJJF5W45GZNU243ZQI,A1D09786CA8A163234FA84927495C3F474A3554BAB69B06AA17D763DC2602785,北海道虻田郡留寿都村
013986,NARSVIU3DKA2FU3CDYNTWEWGLHBG6M6OR3PSKMA,030EB15A3A2E1513C5C29EE9DDCCA48C625E8556088A9215B5884340E182C658,北海道虻田郡喜茂別町
013994,NB5OAOFXQ5V3W7SAIRFCWANEX57YUFRSJC655VA,F57CABD472D44FC26121696ED9F7FD4E922268923303E7E1732D2C6BF4F3F2F3,北海道虻田郡京極町
014001,NDEYXFHX5CVDHQFVIGBO3MPYIBH4GKMGT2EP42Y,F4C53DE5DA478D212F0195EED5FE6B42F1B5AD933CB7B1DDA3677B5C49060CF4,北海道虻田郡倶知安町
014010,NA3WJZFSG7WIG4GGZGILY7ROJ2GLOCY4VSGFSVY,4EB2C0CAC523DDD4581D73E65A6F72386A703FA107B449AABC5DF47CA0D1FDF7,北海道岩内郡共和町
014028,NBCYB5ZD34QT5NGVL7A6KNJYPNNQBJCNU3SM3EY,3E7B0603699E4DB884A7C6FBA3E0D7D7ED0E7DCCFE5494F1005F618FBBB2EB1B,北海道岩内郡岩内町
014036,NC2FU4XIRCBBVQEC3TPYZ4HXXJND5FGYITQNICQ,EEFBC83810A6C362A019A65A4F55EAC2CD42DE04F8B6DCA9B6CAE4F3F6F4B152,北海道古宇郡泊村
014044,NCMLRAFNUMF36D5MFMHNACPY7GZF4YNBRIPEN6I,39D1880BE8D348591D9D59B7E75D03B3AD1953DC7C8B3F3E44A444F24D142157,北海道古宇郡神恵内村
014052,ND43RXG2WN6SLE36CZRJEUSV66AMP4BEW7XE6DQ,44E182E9ADEB370860B58384DCA8762B43070ED8BC8C51D6CC7C69A6560CC8D0,北海道積丹郡積丹町
014061,NA3EGDQIGVRU5XLINKER6EYFBHHZW5BTUSVGYLQ,3E6370AECFB93172E5AD3CC089AFF4B76B1FA5C672A05A62A10E00467CBD6729,北海道古平郡古平町
014079,NCMNS644DLAMDARA6N3OHM3Y54ASRSRWRDTHOCA,523AFC5E8EB108B19FB7AFF440AE394E4348D32DC02F06F3D20500CC1DDF74DE,北海道余市郡仁木町
014087,NDRCV6B2C6RHCNPZYDMXAP4IERWU6NLCKMPUV2Q,2AF752B13C13B088F7E5460CCE7901BA5A1B416DDBF381324D1B6ABE3DB9A597,北海道余市郡余市町
014095,NCDMMMXH3TWMIMQT4OWPW5E4SECKFDEYEYTR7JQ,427C804247AEAF15655D1A86B97851D65873AC5FF90DAD9B015D0B5D58D8D290,北海道余市郡赤井川村
014231,NAIGI22AGB7E2K7KC6HG2WDGJYQWHOTWQE57JMQ,6E89C40BA412CC22CB9893E03B6291C557B1D4651BF7A3192264F33B20136F01,北海道空知郡南幌町
014249,NAIUNVRQGN73BD2FY36YVEZVFULNWCMLASENKZA,58ADCC4FD433007CF9E42B64408F879566DFC6ED1010EDD168080D9CAD2B1F8D,北海道空知郡奈井江町
014257,NA3T4WS2RMCWNGSAGSSOCLJ23GYY3KHTQBNFVZA,933A5D7891E70884F1F54472DD8721D761D9A32AE24ED3335148044FB7F31285,北海道空知郡上砂川町
014273,ND76BYC2MRJATD5PH73XZKOGD6LVEPTSRFOL6GA,26BDBEEE6B3F795F832824926FE78AFA07C90FF3AFAEA1A09B35DD745276A7D6,北海道夕張郡由仁町
014281,NCAHCIQ7PQVPSBM4B2ITT525P7BZUJCGTQ5IYZY,362DFD8FAADDF1A141F68F102D452BFC01879BE04616EEE5591D13A9BA75CA7A,北海道夕張郡長沼町
014290,NB5QGJGW6YJM7IBHFI6GTDOR74LOSIOGNCXYUAA,6E78E3F12C7171881EE782EDC37D4CD21DE93740DF6BD689A7EC619F54EA24C4,北海道夕張郡栗山町
014303,NCXBNG63WT2WSMPBDVGON7M4E2DHB3CEXCQKOVQ,9266251829375438D6C22C6DFD8DE63295A68A625410941F30FE8ADAE28EBD30,北海道樺戸郡月形町
014311,NCHBJ47PKSCD33A2SJUSPWMYCWTTLRIPWDYPXMY,C14A5CF4613E80A55FD87263B69056EA00DAA5518BF919713CD9BFDC148E6477,北海道樺戸郡浦臼町
014320,NCDA4DTQA3MRAPALT24AF3GYOKUZTMMOPKKJDGQ,2557CD97C81B2C8F34CC76CC204D9A89D35D1DAD18C373049E3E3D0C80E68586,北海道樺戸郡新十津川町
014338,NAW3V7ZH7KADORLSCSOHPWVIWYYJJZCWANQ4JIY,7969257299611023A8D457631E506F4E24520BD4EE7F9B1805CD79BF1AF1DD93,北海道雨竜郡妹背牛町
014346,NCIWP36D5IOS7A4EQIOZDPNDBTEB3BJKTOEMVLQ,DEF490545FAB48BAB4626B3CCBEBB814A3EF0DDA525E42041181DBCC781D424F,北海道雨竜郡秩父別町
014362,NAFNSJWIGNJHOO5PAACH4P4GIJPCT23NRC4TJLA,62D03CF88C4386674038ADA766FFBA2AE6936DD807334916FD7ECFA0672DC815,北海道雨竜郡雨竜町
014371,NDJE7G3PC64S7MAQCGLU4BZZHNL5VLRQ6BSS64I,1BC00F599D7F18202F6A2CA1E5A9533FE4526DEE526BEEA87395FB0F8A4914D2,北海道雨竜郡北竜町
